uuid,speaker,sentence,letter,emotion_en,suffix,path,paths
03a05Aa,3,a05,A,afraid,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Aa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Aa.wav
03a05Fc,3,a05,F,happy,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Fc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Fc.wav
03a05Nd,3,a05,N,neutral,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Nd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Nd.wav
03a05Tc,3,a05,T,sad,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Tc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Tc.wav
03a05Wa,3,a05,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Wa.wav
03a05Wb,3,a05,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a05Wb.wav
03a07Fa,3,a07,F,happy,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Fa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Fa.wav
03a07Fb,3,a07,F,happy,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Fb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Fb.wav
03a07La,3,a07,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07La.wav
03a07Nc,3,a07,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Nc.wav
03a07Wc,3,a07,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a07Wc.wav
03b01Fa,3,b01,F,happy,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Fa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Fa.wav
03b01Lb,3,b01,L,boring,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Lb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Lb.wav
03b01Nb,3,b01,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Nb.wav
03b01Td,3,b01,T,sad,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Td,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Td.wav
03b01Wa,3,b01,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Wa.wav
03b01Wc,3,b01,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b01Wc.wav
03b02Aa,3,b02,A,afraid,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Aa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Aa.wav
03b02La,3,b02,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02La.wav
03b02Na,3,b02,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Na.wav
03b02Tb,3,b02,T,sad,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Tb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Tb.wav
03b02Wb,3,b02,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b02Wb.wav
03b03Nb,3,b03,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b03Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b03Nb.wav
03b03Tc,3,b03,T,sad,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b03Tc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b03Tc.wav
03b03Wc,3,b03,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b03Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b03Wc.wav
03b09La,3,b09,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09La.wav
03b09Nc,3,b09,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09Nc.wav
03b09Tc,3,b09,T,sad,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09Tc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09Tc.wav
03b09Wa,3,b09,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b09Wa.wav
03b10Ab,3,b10,A,afraid,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Ab,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Ab.wav
03b10Ec,3,b10,E,disgust,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Ec,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Ec.wav
03b10Na,3,b10,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Na.wav
03b10Nc,3,b10,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Nc.wav
03b10Wb,3,b10,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Wb.wav
03b10Wc,3,b10,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03b10Wc.wav
08a01Ab,8,a01,A,afraid,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Ab,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Ab.wav
08a01Fd,8,a01,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Fd.wav
08a01Lc,8,a01,L,boring,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Lc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Lc.wav
08a01Na,8,a01,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Na.wav
08a01Wa,8,a01,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Wa.wav
08a01Wc,8,a01,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a01Wc.wav
08a02Ab,8,a02,A,afraid,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Ab,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Ab.wav
08a02Ac,8,a02,A,afraid,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Ac,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Ac.wav
08a02Fe,8,a02,F,happy,e,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Fe,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Fe.wav
08a02La,8,a02,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02La.wav
08a02Na,8,a02,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Na.wav
08a02Tb,8,a02,T,sad,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Tb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Tb.wav
08a02Wc,8,a02,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a02Wc.wav
08a04Ff,8,a04,F,happy,f,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Ff,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Ff.wav
08a04La,8,a04,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04La.wav
08a04Nc,8,a04,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Nc.wav
08a04Tb,8,a04,T,sad,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Tb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Tb.wav
08a04Wc,8,a04,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a04Wc.wav
08a05Fe,8,a05,F,happy,e,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Fe,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Fe.wav
08a05Lc,8,a05,L,boring,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Lc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Lc.wav
08a05Nb,8,a05,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Nb.wav
08a05Ta,8,a05,T,sad,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Ta,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Ta.wav
08a05Wa,8,a05,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a05Wa.wav
08a07Fd,8,a07,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Fd.wav
08a07La,8,a07,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07La.wav
08a07Na,8,a07,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Na.wav
08a07Ta,8,a07,T,sad,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Ta,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Ta.wav
08a07Tb,8,a07,T,sad,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Tb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Tb.wav
08a07Wc,8,a07,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08a07Wc.wav
08b01Aa,8,b01,A,afraid,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Aa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Aa.wav
08b01Fd,8,b01,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Fd.wav
08b01Fe,8,b01,F,happy,e,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Fe,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Fe.wav
08b01Lb,8,b01,L,boring,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Lb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Lb.wav
08b01Na,8,b01,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Na.wav
08b01Wa,8,b01,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b01Wa.wav
08b02Ff,8,b02,F,happy,f,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Ff,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Ff.wav
08b02La,8,b02,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02La.wav
08b02Nb,8,b02,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Nb.wav
08b02Tc,8,b02,T,sad,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Tc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Tc.wav
08b02Wd,8,b02,W,angry,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Wd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b02Wd.wav
08b03Fe,8,b03,F,happy,e,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Fe,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Fe.wav
08b03Lc,8,b03,L,boring,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Lc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Lc.wav
08b03Nb,8,b03,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Nb.wav
08b03Tc,8,b03,T,sad,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Tc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Tc.wav
08b03Wd,8,b03,W,angry,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Wd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b03Wd.wav
08b09Ab,8,b09,A,afraid,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Ab,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Ab.wav
08b09Fd,8,b09,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Fd.wav
08b09Lc,8,b09,L,boring,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Lc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Lc.wav
08b09Nb,8,b09,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Nb.wav
08b09Tb,8,b09,T,sad,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Tb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Tb.wav
08b09Wa,8,b09,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Wa.wav
08b09Wc,8,b09,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b09Wc.wav
08b10Aa,8,b10,A,afraid,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Aa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Aa.wav
08b10Fd,8,b10,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Fd.wav
08b10La,8,b10,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10La.wav
08b10Nc,8,b10,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Nc.wav
08b10Tc,8,b10,T,sad,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Tc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Tc.wav
08b10Wa,8,b10,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\08b10Wa.wav
09a01Ea,9,a01,E,disgust,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Ea,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Ea.wav
09a01Fa,9,a01,F,happy,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Fa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Fa.wav
09a01Nb,9,a01,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Nb.wav
09a01Wb,9,a01,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a01Wb.wav
09a02Ea,9,a02,E,disgust,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02Ea,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02Ea.wav
09a02Eb,9,a02,E,disgust,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02Eb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02Eb.wav
09a02La,9,a02,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02La.wav
09a02Wb,9,a02,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a02Wb.wav
09a04Fd,9,a04,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04Fd.wav
09a04La,9,a04,L,boring,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04La,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04La.wav
09a04Nb,9,a04,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04Nb.wav
09a04Wa,9,a04,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a04Wa.wav
09a05Ed,9,a05,E,disgust,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Ed,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Ed.wav
09a05Lc,9,a05,L,boring,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Lc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Lc.wav
09a05Nb,9,a05,N,neutral,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Nb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Nb.wav
09a05Tb,9,a05,T,sad,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Tb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Tb.wav
09a05Wb,9,a05,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Wb.wav
09a05Wc,9,a05,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a05Wc.wav
09a07Eb,9,a07,E,disgust,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Eb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Eb.wav
09a07Na,9,a07,N,neutral,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Na,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Na.wav
09a07Ta,9,a07,T,sad,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Ta,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Ta.wav
09a07Wb,9,a07,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Wb.wav
09a07Wd,9,a07,W,angry,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Wd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09a07Wd.wav
09b01Ea,9,b01,E,disgust,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09b01Ea,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\09b01Ea.wav
